"","N","variable","value"
"1",1,"1969-03-01",0
"2",2,"1969-03-01",0.00395275509145972
"3",3,"1969-03-01",0.0236415888006374
"4",4,"1969-03-01",-0.00709499024707566
"5",5,"1969-03-01",-0.0213508393147876
"6",6,"1969-03-01",0.0120658557925201
"7",7,"1969-03-01",-0.00217230584074144
"8",8,"1969-03-01",-0.0058719665533573
"9",9,"1969-03-01",-0.01561278061006
"10",10,"1969-03-01",-0.0377971066154371
"11",11,"1969-03-01",-0.000748878602610242
"12",12,"1969-03-01",0.024466217407314
"13",13,"1969-03-01",0.0188157694371521
"14",14,"1969-03-01",-0.00739430834659132
"15",15,"1969-03-01",-0.0128311778532056
"16",16,"1969-03-01",0.00945570562108648
"17",17,"1969-03-01",0.00721854767473791
"18",18,"1969-03-01",0.00334351618156393
"19",19,"1969-03-01",-0.00260636761328841
"20",20,"1969-03-01",-0.00209435956335904
"21",21,"1969-03-01",-0.00263296973140876
"22",22,"1969-03-01",0.0030721716637885
"23",23,"1969-03-01",-0.00585376928632245
"24",24,"1969-03-01",0.00135241126905847
"25",25,"1969-03-01",0.000408585210997428
"26",26,"1969-03-01",-0.000635569619847792
"27",27,"1969-03-01",-0.00576549037462396
"28",28,"1969-03-01",4.74943022449898e-05
"29",29,"1969-03-01",0.00273901001927239
"30",30,"1969-03-01",0.000717796576094706
"31",31,"1969-03-01",-0.0024722562221804
"32",32,"1969-03-01",-0.00340948702900701
"33",33,"1969-03-01",-0.00111866184704076
"34",34,"1969-03-01",0.00609457548768413
"35",35,"1969-03-01",0.00550817659173648
"36",36,"1969-03-01",-0.00185707876482293
"37",37,"1969-03-01",-0.00166668995129326
"38",38,"1969-03-01",0.00197758529465079
"39",39,"1969-03-01",0.00168261329185229
"40",40,"1969-03-01",-0.000571021915769038
"41",41,"1969-03-01",-0.00165413827628999
"42",42,"1969-03-01",-0.000915475313666424
"43",43,"1969-03-01",-0.00107454132508222
"44",44,"1969-03-01",0.000133373137088015
"45",1,"1969-04-01",0
"46",2,"1969-04-01",0.0039925068185041
"47",3,"1969-04-01",0.0295620218163167
"48",4,"1969-04-01",-0.0134965653557346
"49",5,"1969-04-01",-0.0195275875665437
"50",6,"1969-04-01",0.00852688622886899
"51",7,"1969-04-01",0.00240408952987678
"52",8,"1969-04-01",-0.00560684690561626
"53",9,"1969-04-01",-0.0197980046076244
"54",10,"1969-04-01",-0.0417997942363439
"55",11,"1969-04-01",-0.00196732566119378
"56",12,"1969-04-01",0.0287717073974738
"57",13,"1969-04-01",0.0161973138645628
"58",14,"1969-04-01",-0.0102408959622732
"59",15,"1969-04-01",-0.00887846341304273
"60",16,"1969-04-01",0.00820200442619971
"61",17,"1969-04-01",0.00447239616238699
"62",18,"1969-04-01",0.00215652077711176
"63",19,"1969-04-01",-0.00309564238384956
"64",20,"1969-04-01",0.00887378293092394
"65",21,"1969-04-01",0.000406414377115598
"66",22,"1969-04-01",-0.00301629058668073
"67",23,"1969-04-01",-0.0109084626740954
"68",24,"1969-04-01",0.00725839240017812
"69",25,"1969-04-01",0.0026499146722721
"70",26,"1969-04-01",-0.0039108598246923
"71",27,"1969-04-01",-0.00876184242231181
"72",28,"1969-04-01",0.00349814962215456
"73",29,"1969-04-01",0.000555486775660645
"74",30,"1969-04-01",-0.00356083682163581
"75",31,"1969-04-01",-0.00609823800920244
"76",32,"1969-04-01",8.61937009226091e-05
"77",33,"1969-04-01",0.00398468509317445
"78",34,"1969-04-01",0.0031862120279536
"79",35,"1969-04-01",-0.00331985844150563
"80",36,"1969-04-01",-0.00163846109206172
"81",37,"1969-04-01",0.00353382922387096
"82",38,"1969-04-01",0.00236931973665521
"83",39,"1969-04-01",-0.00385509029925097
"84",40,"1969-04-01",-0.00149600506623201
"85",41,"1969-04-01",0.00278483364677443
"86",42,"1969-04-01",0.00175812763857927
"87",43,"1969-04-01",-0.00441223341281998
"88",44,"1969-04-01",-0.00372141445044522
"89",1,"1969-05-01",0
"90",2,"1969-05-01",0.0124060006378723
"91",3,"1969-05-01",0.029451299942348
"92",4,"1969-05-01",-0.018019947926929
"93",5,"1969-05-01",-0.0120176311426798
"94",6,"1969-05-01",0.00753872028775026
"95",7,"1969-05-01",0.00278985518699921
"96",8,"1969-05-01",-0.00425029308004265
"97",9,"1969-05-01",-0.0206254837821618
"98",10,"1969-05-01",-0.0335229885625199
"99",11,"1969-05-01",0.00192912297878683
"100",12,"1969-05-01",0.0192060626746941
"101",13,"1969-05-01",0.0138181482553183
"102",14,"1969-05-01",-0.00375648289369807
"103",15,"1969-05-01",-0.0106225344997282
"104",16,"1969-05-01",0.00840028461989886
"105",17,"1969-05-01",0.00743833995046954
"106",18,"1969-05-01",0.00281344847606064
"107",19,"1969-05-01",-0.00287443726397122
"108",20,"1969-05-01",0.00983789214730383
"109",21,"1969-05-01",-0.00246925854585899
"110",22,"1969-05-01",0.000712757001202303
"111",23,"1969-05-01",-0.00728619783905118
"112",24,"1969-05-01",0.00576818109451381
"113",25,"1969-05-01",-0.000973108485412667
"114",26,"1969-05-01",-0.00174333877933376
"115",27,"1969-05-01",-0.00816711980583693
"116",28,"1969-05-01",0.00511925935218634
"117",29,"1969-05-01",-0.000511763028299817
"118",30,"1969-05-01",-0.00233364278314499
"119",31,"1969-05-01",-0.00358505839177356
"120",32,"1969-05-01",0.0042048052696991
"121",33,"1969-05-01",0.0006367820279839
"122",34,"1969-05-01",0.00175987883103153
"123",35,"1969-05-01",0.000378662946913362
"124",36,"1969-05-01",0.00357044118017721
"125",37,"1969-05-01",0.00133624322971876
"126",38,"1969-05-01",0.00152271339135521
"127",39,"1969-05-01",-0.00153712588661443
"128",40,"1969-05-01",0.00179598312568544
"129",41,"1969-05-01",0.00102300483045132
"130",42,"1969-05-01",0.00073591839090418
"131",43,"1969-05-01",-0.00301275185863008
"132",44,"1969-05-01",5.92521691054037e-05
"133",1,"1969-06-01",0
"134",2,"1969-06-01",0.00766735305990983
"135",3,"1969-06-01",0.0440347194152279
