"","N","variable","value","upper","lower"
"1",1,"1969-03-01",0,0,0
"2",2,"1969-03-01",0.0117550949045724,0.044729678878379,-0.0169118263743859
"3",3,"1969-03-01",0.0230952153992012,0.0486838309075153,-0.00993200825858539
"4",4,"1969-03-01",0.00592075161812009,0.0188110125357373,-0.00734441913736316
"5",5,"1969-03-01",0.00685823487515752,0.018307766735486,-0.00420243759046462
"6",6,"1969-03-01",0.00655848149817212,0.0168640128874905,-0.00268388449406522
"7",7,"1969-03-01",0.00460421616552319,0.0138093536539065,-0.00197786909983911
"8",8,"1969-03-01",0.00300315573487801,0.00905745977310578,-0.00131348306070156
"9",9,"1969-03-01",0.0025072377542058,0.008874957040851,-0.000863339180843474
"10",10,"1969-03-01",0.00188105697341895,0.00621739048739291,-0.000619290699115553
"11",11,"1969-03-01",0.00133452357734435,0.00508483686569799,-0.000459952693733448
"12",12,"1969-03-01",0.000988163552076833,0.00467062929724478,-0.000326254848062111
"13",13,"1969-03-01",0.00074415015935761,0.00343779945183208,-0.000236715318610994
"14",14,"1969-03-01",0.00054257734131449,0.00276930505637236,-0.000165071491289136
"15",15,"1969-03-01",0.000396397203016847,0.00241488646295094,-0.000124769285798636
"16",16,"1969-03-01",0.000292863537954238,0.00183715141424926,-8.69248990521212e-05
"17",17,"1969-03-01",0.000215276990549749,0.00145947744013417,-6.44351944108892e-05
"18",18,"1969-03-01",0.000157440311238976,0.00123375265321146,-4.75865414817898e-05
"19",19,"1969-03-01",0.000115519630968597,0.00096885336340418,-3.0096552205406e-05
"20",20,"1969-03-01",8.48123836696569e-05,0.000768017375858376,-2.31043263801197e-05
"21",21,"1969-03-01",6.21342401897174e-05,0.000638406314113432,-1.51709627632557e-05
"22",22,"1969-03-01",4.55179109665569e-05,0.000509496780211348,-1.19283888378917e-05
"23",23,"1969-03-01",3.33695845216006e-05,0.000405575260088272,-7.88794266133877e-06
"24",24,"1969-03-01",2.44526759380196e-05,0.000332746714885758,-5.74328761332524e-06
"25",25,"1969-03-01",1.79117339662618e-05,0.000273479631547514,-4.19211858443021e-06
"26",26,"1969-03-01",1.31228169946245e-05,0.000224015583839842,-3.03738805052265e-06
"27",27,"1969-03-01",9.61441285391435e-06,0.000186739639820351,-2.56070801322941e-06
"28",28,"1969-03-01",7.04276746684718e-06,0.000154406622433746,-1.84917137589672e-06
"29",29,"1969-03-01",5.15888679562828e-06,0.000126992508738298,-1.33531787090193e-06
"30",30,"1969-03-01",3.77906225424639e-06,0.000105433521825922,-9.6737914407042e-07
